team_id,name,number,position,hand
2,岩崎　優,13,P,
2,岩貞　祐太,14,P,
2,西　勇輝,16,P,
2,伊原　陵人,18,P,
2,下村　海翔,19,P,
2,大竹　耕太郎,21,P,
2,椎葉　剛,26,P,
2,伊藤　将司,27,P,
2,今朝丸　裕喜,28,P,
2,髙橋　遥人,29,P,
2,門別　啓人,30,P,
2,才木　浩人,35,P,
2,畠　世周,36,P,
2,及川　雅貴,37,P,
2,村上　頌樹,41,P,
2,イーストン・ルーカス,42,P,
2,早瀬　朔,44,P,
2,カーソン・ラグズデール,46,P,
2,桐敷　拓馬,47,P,
2,茨木　秀俊,48,P,
2,工藤　泰成,49,P,
2,富田　蓮,50,P,
2,早川　太貴,51,P,
2,木下　里都,54,P,
2,能登　嵩都,55,P,
2,石黒　佑弥,63,P,
2,岡留　英貴,64,P,
2,湯浅　京己,65,P,
2,津田　淳哉,66,P,
2,石井　大智,69,P,
2,ラファエル・ドリス,98,P,
2,ダウリ・モレッタ,99,P,
2,小川　一平,122,P,
2,松原　快,123,P,
2,伊藤　稜,125,P,
2,神宮　僚介,127,P,
2,アンソニー・マルティネス,132,P,
2,梅野　隆太郎,2,C,
2,坂本　誠志郎,12,C,
2,伏見　寅威,17,C,
2,榮枝　裕貴,39,C,
2,町田　隼乙,43,C,
2,長坂　拳弥,57,C,
2,藤田　健斗,59,C,
2,中川　勇斗,68,C,
2,嶋村　麟士朗,128,C,
2,元山　飛優,00,IF,
2,木浪　聖也,0,IF,
2,大山　悠輔,3,IF,
2,熊谷　敬宥,4,IF,
2,中野　拓夢,7,IF,
2,佐藤　輝明,8,IF,
2,立石　正広,9,IF,
2,キャム・ディベイニー,24,IF,
2,谷端　将伍,25,IF,
2,糸原　健斗,33,IF,
2,小幡　竜平,38,IF,
2,佐野　大陽,45,IF,
2,山田　脩也,52,IF,
2,百﨑　蒼生,56,IF,
2,植田　海,62,IF,
2,髙寺　望夢,67,IF,
2,戸井　零士,121,IF,
2,川﨑　俊哲,130,IF,
2,ジーン・アルナエス,133,IF,
2,森下　翔太,1,OF,
2,近本　光司,5,OF,
2,濱田　太貴,32,OF,
2,岡城　快生,34,OF,
2,井坪　陽生,40,OF,
2,島田　海吏,53,OF,
2,前川　右京,58,OF,
2,小野寺　暖,60,OF,
2,豊田　寛,61,OF,
2,西　純矢,120,OF,
2,福島　圭音,126,OF,
2,山﨑　照英,129,OF,
2,スタンリー・コンスエグラ,134,OF,
