team_id,name,number,position,hand
5,矢澤 宏太,12,P,
5,生田目 翼,13,P,
5,加藤 貴之,14,P,
5,北山 亘基,15,P,
5,達 孝太,16,P,
5,伊藤 大海,17,P,
5,山﨑 福也,18,P,
5,玉井 大翔,19,P,
5,上原 健太,20,P,
5,杉浦 稔大,22,P,
5,金村 尚真,24,P,
5,宮西 尚生,25,P,
5,田中 正義,26,P,
5,大川 慈英,27,P,
5,河野 竜生,28,P,
5,細野 晴希,29,P,
5,サウリン・ラオ,30,P,
5,柴田 獅子,31,P,
5,藤田 琉生,32,P,
5,堀 瑞輝,34,P,
5,浅利 太門,35,P,
5,古林 睿煬,37,P,
5,島本 浩也,40,P,
5,福谷 浩司,41,P,
5,福島 蓮,45,P,
5,畔柳 亨丞,46,P,
5,柳川 大晟,47,P,
5,齋藤 友貴哉,48,P,
5,池田 隆英,52,P,
5,菊地 大稀,55,P,
5,清水 大暉,62,P,
5,山城 航太郎,63,P,
5,山本 拓実,67,P,
5,有原 航平,74,P,
5,孫 易磊,96,P,
5,加藤 大和,113,P,
5,松本 遼大,114,P,
5,清宮 虎多朗,115,P,
5,松岡 洸希,116,P,
5,宮内 春輝,117,P,
5,川勝 空人,121,P,
5,澁谷 純希,122,P,
5,横山 永遠,124,P,
5,福田 俊,140,P,
5,安西 叶翔,154,P,
5,根本 悠楓,159,P,
5,アリエル・マルティネス,2,C,
5,郡司 裕也,3,C,
5,清水 優心,10,C,
5,進藤 勇也,33,C,
5,藤森 海斗,57,C,
5,吉田 賢吾,60,C,
5,田宮 裕涼,64,C,
5,梅林 優貴,98,C,
5,上川畑 大悟,4,IF,
5,野村 佑希,5,IF,
5,ロドルフォ・カストロ,6,IF,
5,中島 卓也,9,IF,
5,清宮 幸太郎,21,IF,
5,有薗 直輝,39,IF,
5,水野 達稀,43,IF,
5,阪口 樂,44,IF,
5,大塚 瑠晏,49,IF,
5,半田 南十,51,IF,
5,山縣 秀,54,IF,
5,細川 凌平,56,IF,
5,奈良間 大己,58,IF,
5,明瀬 諒介,65,IF,
5,濵田 泰希,111,IF,
5,常谷 拓輝,123,IF,
5,西川 遥輝,7,OF,
5,淺間 大基,8,OF,
5,宮崎 一樹,36,OF,
5,エドポロ ケイン,42,OF,
5,五十幡 亮汰,50,OF,
5,水谷 瞬,53,OF,
5,今川 優馬,61,OF,
5,万波 中正,66,OF,
5,フランミル・レイエス,99,OF,
5,藤田 大清,125,OF,
5,山口 アタル,127,OF,
5,星野 ひので,168,OF,
