team_id,name,number,position,hand
3,岸 孝之,11,P,
3,藤原 聡大,13,P,
3,ロアンシー・コントレラス,15,P,
3,古謝 樹,17,P,
3,前田 健太,18,P,
3,荘司 康誠,19,P,
3,伊藤 樹,20,P,
3,早川 隆久,21,P,
3,ホセ・ウレーニャ,22,P,
3,中込 陽翔,26,P,
3,酒居 知史,28,P,
3,田中 千晴,29,P,
3,渡辺 翔太,31,P,
3,江原 雅裕,40,P,
3,加治屋 蓮,41,P,
3,宋 家豪,43,P,
3,九谷 瑠,45,P,
3,藤平 尚真,46,P,
3,藤井 聖,47,P,
3,西垣 雅矢,49,P,
3,津留﨑 大成,52,P,
3,坂井 陽翔,53,P,
3,日當 直喜,54,P,
3,鈴木 翔天,56,P,
3,瀧中 瞭太,57,P,
3,辛島 航,58,P,
3,泰 勝利,59,P,
3,古賀 康誠,61,P,
3,西口 直人,62,P,
3,林 優樹,64,P,
3,今野 龍太,66,P,
3,大内 誠弥,67,P,
3,内 星龍,69,P,
3,柴田 大地,71,P,
3,伊藤 大晟,79,P,
3,德山 一翔,029,P,
3,松田 啄磨,061,P,
3,中沢 匠磨,133,P,
3,蕭 齊,197,P,
3,太田 光,2,C,
3,伊藤 光,27,C,
3,田中 貴也,44,C,
3,YG安田,55,C,
3,堀内 謙伍,65,C,
3,石原 彪,70,C,
3,大栄 利哉,72,C,
3,水上 桂,022,C,
3,島原 大河,122,C,
3,小深田 大翔,0,IF,
3,宗山 塁,1,IF,
3,浅村 栄斗,3,IF,
3,村林 一輝,6,IF,
3,鈴木 大地,7,IF,
3,ルーク・ボイト,9,IF,
3,黒川 史陽,24,IF,
3,繁永 晟,30,IF,
3,渡邊 佳明,35,IF,
3,伊藤 裕季也,39,IF,
3,平良 竜哉,48,IF,
3,ワォーターズ,60,IF,
3,入江 大樹,63,IF,
3,青野 拓海,68,IF,
3,小森 航大郎,73,IF,
3,陽 柏翔,75,IF,
3,岸本 佑也,132,IF,
3,金子 京介,134,IF,
3,辰己 涼介,8,OF,
3,オスカー・ゴンザレス,12,OF,
3,田中 和基,25,OF,
3,中島 大輔,32,OF,
3,カーソン・マッカスカー,34,OF,
3,吉納 翼,36,OF,
3,佐藤 直樹,38,OF,
3,阪上 翔也,42,OF,
3,武藤 敦貴,50,OF,
3,小郷 裕哉,51,OF,
3,吉野 創士,78,OF,
3,前田 銀治,079,OF,
3,幌村 黛汰,126,OF,
3,大坪 梓恩,129,OF,
